id,created_time,creator_id,modified_time,modifier_id,is_deleted,name,group,path,is_exist,order_num,file_type,ext,status,searchable,filterable,quickSearch,active
4,2024-02-01 14:31:22.053370,1,2024-06-29 06:53:39.524863,1,0,base_spider,t4/spiders,t4/spiders/base_spider.py,True,0,.py,,1,1,1,0,False
7,2024-02-01 14:31:22.066253,1,2024-06-29 06:53:39.534804,1,0,test_1,t4/spiders,t4/spiders/test_1.txt,True,9999,.txt,,1,0,0,0,True
282,2024-05-16 08:22:11.775273,1,2024-06-29 06:53:40.237817,1,0,蓝光影视,t4/files/drpy_js,t4/files/drpy_js/蓝光影视.js,True,276,.js,,1,1,0,0,True
271,2024-05-15 06:21:15.452280,1,2024-06-29 06:53:40.254063,1,0,蛋蛋赞,t4/files/drpy_js,t4/files/drpy_js/蛋蛋赞.js,True,265,.js,,1,1,1,0,True
284,2024-05-16 08:22:11.811528,1,2024-06-29 06:53:40.263774,1,0,西屋影视,t4/files/drpy_js,t4/files/drpy_js/西屋影视.js,True,278,.js,,1,1,0,0,True
381,2024-06-09 18:53:00.718922,1,2024-06-29 06:53:40.327657,1,0,飞翔鸟[书],t4/files/drpy_js,t4/files/drpy_js/飞翔鸟[书].js,True,375,.js,,1,1,1,0,True
60,2024-02-04 14:21:09.834304,1,2024-06-29 06:53:40.482230,1,0,E8plus,t4/files/json,t4/files/json/E8plus.json,True,60,.json,,1,0,0,0,True
46,2024-02-01 14:31:22.201442,1,2024-06-29 06:53:40.555727,1,0,bili,t4/files/txt,t4/files/txt/bili.txt,True,46,.txt,,1,0,0,0,True
48,2024-02-01 14:31:22.210714,1,2024-06-29 06:53:40.562347,1,0,custom,t4/files/txt,t4/files/txt/custom.conf,True,48,.conf,,1,0,0,0,True
77,2024-03-08 15:53:20.983010,1,2024-06-29 06:53:40.570641,1,0,mytv,t4/files/txt,t4/files/txt/mytv.txt,True,71,.txt,,1,0,0,0,True
51,2024-02-01 14:31:22.221119,1,2024-06-29 06:53:40.579831,1,0,vip_parse,t4/files/txt,t4/files/txt/vip_parse.conf,True,51,.conf,,1,0,0,0,True
62,2024-02-04 14:21:09.849102,1,2024-06-29 06:53:40.582726,1,0,zb,t4/files/txt,t4/files/txt/zb.txt,True,62,.txt,,1,0,0,0,True
65,2024-02-05 09:48:57.517131,1,2024-06-29 06:53:40.585334,1,0,custom_jsapi,t4/files/jar,t4/files/jar/custom_jsapi.jar,True,65,.jar,,1,0,0,0,True
66,2024-02-05 09:48:57.524729,1,2024-06-29 06:53:40.588074,1,0,custom_spider_dz1201,t4/files/jar,t4/files/jar/custom_spider_dz1201.jar,True,66,.jar,,1,0,0,0,True
67,2024-02-05 09:56:10.488387,1,2024-06-29 06:53:40.599789,1,0,哔哩,t4/files/js_parse_api,t4/files/js_parse_api/哔哩.js,True,67,.js,,1,0,0,0,True
133,2024-03-29 09:09:21.217010,1,2024-06-29 06:53:40.610929,1,0,虾米,t4/files/js_parse_api,t4/files/js_parse_api/虾米.js,True,127,.js,,1,0,0,0,True
79,2024-03-08 15:53:21.070369,1,2024-06-29 06:53:40.619446,1,0,crypto-js,t4/files/drpy3_libs,t4/files/drpy3_libs/crypto-js.js,True,73,.js,,1,0,0,0,True
125,2024-03-19 11:00:53.115130,1,2024-06-29 06:53:40.622022,1,0,drpy3.hiker,t4/files/drpy3_libs,t4/files/drpy3_libs/drpy3.hiker.js,True,119,.js,,1,0,0,0,True
80,2024-03-08 15:53:21.072166,1,2024-06-29 06:53:40.624512,1,0,drpy3,t4/files/drpy3_libs,t4/files/drpy3_libs/drpy3.js,True,74,.js,,1,0,0,0,True
82,2024-03-08 15:53:21.077160,1,2024-06-29 06:53:40.627600,1,0,gbk,t4/files/drpy3_libs,t4/files/drpy3_libs/gbk.js,True,76,.js,,1,0,0,0,True
83,2024-03-08 15:53:21.079211,1,2024-06-29 06:53:40.638160,1,0,模板,t4/files/drpy3_libs,t4/files/drpy3_libs/模板.js,True,77,.js,,1,0,0,0,True
85,2024-03-10 11:22:54.396452,1,2024-06-29 06:53:40.640608,1,0,1080P,t4/files/drpy3_js,t4/files/drpy3_js/1080P.js,True,79,.js,,1,0,0,0,True
86,2024-03-10 11:22:54.404715,1,2024-06-29 06:53:40.643793,1,0,18av,t4/files/drpy3_js,t4/files/drpy3_js/18av.js,True,80,.js,,1,0,0,0,True
87,2024-03-10 11:22:54.410304,1,2024-06-29 06:53:40.646646,1,0,369影视,t4/files/drpy3_js,t4/files/drpy3_js/369影视.js,True,81,.js,,1,0,0,0,True
88,2024-03-10 11:22:54.415189,1,2024-06-29 06:53:40.649263,1,0,4khdr,t4/files/drpy3_js,t4/files/drpy3_js/4khdr.js,True,82,.js,,1,0,0,0,True
89,2024-03-10 11:22:54.420127,1,2024-06-29 06:53:40.651885,1,0,97tvs,t4/files/drpy3_js,t4/files/drpy3_js/97tvs.js,True,83,.js,,1,0,0,0,True
90,2024-03-10 11:22:54.425029,1,2024-06-29 06:53:40.656988,1,0,aipanso,t4/files/drpy3_js,t4/files/drpy3_js/aipanso.js,True,84,.js,,1,0,0,0,True
92,2024-03-10 11:22:54.436023,1,2024-06-29 06:53:40.662203,1,0,banan,t4/files/drpy3_js,t4/files/drpy3_js/banan.js,True,86,.js,,1,0,0,0,True
93,2024-03-10 11:22:54.441055,1,2024-06-29 06:53:40.664776,1,0,cilixiong,t4/files/drpy3_js,t4/files/drpy3_js/cilixiong.js,True,87,.js,,1,0,0,0,True
94,2024-03-10 11:22:54.446128,1,2024-06-29 06:53:40.667227,1,0,cilixiongp,t4/files/drpy3_js,t4/files/drpy3_js/cilixiongp.js,True,88,.js,,1,0,0,0,True
95,2024-03-10 11:22:54.451334,1,2024-06-29 06:53:40.669631,1,0,ddys_d,t4/files/drpy3_js,t4/files/drpy3_js/ddys_d.js,True,89,.js,,1,0,0,0,True
96,2024-03-10 11:22:54.456638,1,2024-06-29 06:53:40.672033,1,0,dydhhy,t4/files/drpy3_js,t4/files/drpy3_js/dydhhy.js,True,90,.js,,1,0,0,0,True
97,2024-03-10 11:22:54.461295,1,2024-06-29 06:53:40.674465,1,0,dygang,t4/files/drpy3_js,t4/files/drpy3_js/dygang.js,True,91,.js,,1,0,0,0,True
99,2024-03-10 11:22:54.471919,1,2024-06-29 06:53:40.683256,1,0,huya,t4/files/drpy3_js,t4/files/drpy3_js/huya.js,True,93,.js,,1,0,0,0,True
100,2024-03-10 11:22:54.476378,1,2024-06-29 06:53:40.685693,1,0,jianpian,t4/files/drpy3_js,t4/files/drpy3_js/jianpian.js,True,94,.js,,1,0,0,0,True
101,2024-03-10 11:22:54.481020,1,2024-06-29 06:53:40.688086,1,0,jiyingw,t4/files/drpy3_js,t4/files/drpy3_js/jiyingw.js,True,95,.js,,1,0,0,0,True
102,2024-03-10 11:22:54.485559,1,2024-06-29 06:53:40.690604,1,0,jiyingwp,t4/files/drpy3_js,t4/files/drpy3_js/jiyingwp.js,True,96,.js,,1,0,0,0,True
104,2024-03-10 11:22:54.494281,1,2024-06-29 06:53:40.696766,1,0,kuba,t4/files/drpy3_js,t4/files/drpy3_js/kuba.js,True,98,.js,,1,0,0,0,True
105,2024-03-10 11:22:54.499477,1,2024-06-29 06:53:40.699458,1,0,lf_live,t4/files/drpy3_js,t4/files/drpy3_js/lf_live.txt,True,99,.txt,,1,0,0,0,True
106,2024-03-10 11:22:54.504301,1,2024-06-29 06:53:40.701866,1,0,lf_live1,t4/files/drpy3_js,t4/files/drpy3_js/lf_live1.txt,True,100,.txt,,1,0,0,0,True
109,2024-03-10 11:22:54.518066,1,2024-06-29 06:53:40.709872,1,0,meijumip,t4/files/drpy3_js,t4/files/drpy3_js/meijumip.js,True,103,.js,,1,0,0,0,True
111,2024-03-10 11:22:54.526879,1,2024-06-29 06:53:40.715614,1,0,Missav,t4/files/drpy3_js,t4/files/drpy3_js/Missav.js,True,105,.js,,1,0,0,0,True
112,2024-03-10 11:22:54.531894,1,2024-06-29 06:53:40.718045,1,0,mp4us,t4/files/drpy3_js,t4/files/drpy3_js/mp4us.js,True,106,.js,,1,0,0,0,True
119,2024-03-10 11:22:54.566374,1,2024-06-29 06:53:40.735632,1,0,yyets,t4/files/drpy3_js,t4/files/drpy3_js/yyets.js,True,113,.js,,1,0,0,0,True
120,2024-03-10 11:22:54.570699,1,2024-06-29 06:53:40.738122,1,0,yyetsp,t4/files/drpy3_js,t4/files/drpy3_js/yyetsp.js,True,114,.js,,1,0,0,0,True
121,2024-03-10 11:22:54.575765,1,2024-06-29 06:53:40.740675,1,0,养端,t4/files/drpy3_js,t4/files/drpy3_js/养端.js,True,115,.js,,1,0,0,0,True
122,2024-03-10 11:22:54.581446,1,2024-06-29 06:53:40.758032,1,0,吸瓜,t4/files/drpy3_js,t4/files/drpy3_js/吸瓜.js,True,116,.js,,1,0,0,0,True
5,2024-02-01 14:31:22.057740,1,2024-06-29 06:53:39.528820,1,0,cntv央视,t4/spiders,t4/spiders/cntv央视.json,True,9999,.json,,1,0,0,0,True
330,2024-05-27 10:10:44.903811,1,2024-06-29 06:53:40.074715,1,0,爱看农民[优],t4/files/drpy_js,t4/files/drpy_js/爱看农民[优].js,True,324,.js,,1,1,1,1,True
136,2024-05-06 13:28:59.370606,1,2024-06-29 06:53:39.552550,1,0,在线之家,t4/spiders,t4/spiders/在线之家.py,True,130,.py,,1,1,1,0,True
56,2024-02-02 16:38:12.276321,1,2024-06-29 06:53:39.579579,1,0,555影视[飞],t4/files/drpy_js,t4/files/drpy_js/555影视[飞].js,True,56,.js,,1,1,1,0,True
441,2024-06-17 16:35:37.502432,1,2024-06-29 06:53:39.592732,1,0,88看球[球],t4/files/drpy_js,t4/files/drpy_js/88看球[球].js,True,435,.js,,1,0,0,0,True
410,2024-06-14 18:03:33.410059,1,2024-06-29 06:53:39.603646,1,0,bilfun(自动),t4/files/drpy_js,t4/files/drpy_js/bilfun(自动).js,True,404,.js,,1,1,1,0,True
126,2024-03-29 09:09:20.999119,1,2024-06-29 06:53:39.606334,1,0,freeok,t4/files/drpy_js,t4/files/drpy_js/freeok.js,True,120,.js,,1,1,0,0,True
395,2024-06-12 10:09:51.875734,1,2024-06-29 06:53:39.745007,1,0,千百视频[密],t4/files/drpy_js,t4/files/drpy_js/千百视频[密].js,True,389,.js,,1,1,1,0,True
127,2024-03-29 09:09:21.022291,1,2024-06-29 06:53:39.763279,1,0,厂长资源,t4/files/drpy_js,t4/files/drpy_js/厂长资源.js,True,121,.js,,1,1,0,0,True
438,2024-06-17 16:35:37.283601,1,2024-06-29 06:53:39.812883,1,0,大米动漫[漫],t4/files/drpy_js,t4/files/drpy_js/大米动漫[漫].js,True,432,.js,,1,1,0,0,True
155,2024-05-06 13:28:59.628363,1,2024-06-29 06:53:39.815369,1,0,大米星球,t4/files/drpy_js,t4/files/drpy_js/大米星球.js,True,149,.js,,1,1,1,0,True
390,2024-06-11 10:05:04.084003,1,2024-06-29 06:53:39.820482,1,0,天启,t4/files/drpy_js,t4/files/drpy_js/天启.js,True,384,.js,,1,1,1,0,True
429,2024-06-17 16:35:36.919229,1,2024-06-29 06:53:39.833460,1,0,好趣网[播],t4/files/drpy_js,t4/files/drpy_js/好趣网[播].js,True,423,.js,,1,1,0,0,True
389,2024-06-11 10:05:03.445614,1,2024-06-29 06:53:39.838525,1,0,子子影视,t4/files/drpy_js,t4/files/drpy_js/子子影视.js,True,383,.js,,1,1,0,0,True
288,2024-05-16 08:22:12.282205,1,2024-06-29 06:53:39.953220,1,0,星空影院,t4/files/drpy_js,t4/files/drpy_js/星空影院.js,True,282,.js,,1,1,0,0,True
439,2024-06-17 16:35:37.289358,1,2024-06-29 06:53:40.021349,1,0,樱花动漫[漫],t4/files/drpy_js,t4/files/drpy_js/樱花动漫[漫].js,True,433,.js,,1,1,0,0,True
388,2024-06-11 10:05:03.303369,1,2024-06-29 06:53:40.056247,1,0,热片网,t4/files/drpy_js,t4/files/drpy_js/热片网.js,True,382,.js,,1,1,1,0,True
331,2024-05-27 12:03:03.995243,1,2024-06-29 06:53:40.071675,1,0,爱看农民2[优],t4/files/drpy_js,t4/files/drpy_js/爱看农民2[优].js,True,325,.js,,1,1,1,1,True
322,2024-05-25 15:45:01.962292,1,2024-06-29 06:53:40.104360,1,0,电影天堂,t4/files/drpy_js,t4/files/drpy_js/电影天堂.js,True,316,.js,,1,1,0,0,True
440,2024-06-17 16:35:37.397274,1,2024-06-29 06:53:40.190041,1,0,维奇动漫[漫],t4/files/drpy_js,t4/files/drpy_js/维奇动漫[漫].js,True,434,.js,,1,1,1,1,True
333,2024-05-28 10:11:14.082974,1,2024-06-29 06:53:40.218632,1,0,胖虎影视,t4/files/drpy_js,t4/files/drpy_js/胖虎影视.js,True,327,.js,,1,1,1,1,True
270,2024-05-15 06:21:15.433748,1,2024-06-29 06:53:40.250850,1,0,蛋蛋剧,t4/files/drpy_js,t4/files/drpy_js/蛋蛋剧.js,True,264,.js,,1,1,1,0,True
432,2024-06-17 16:35:36.983571,1,2024-06-29 06:53:40.351028,1,0,麻雀视频[优],t4/files/drpy_js,t4/files/drpy_js/麻雀视频[优].js,True,426,.js,,1,1,1,0,True
172,2024-05-06 13:28:59.919464,1,2024-06-29 06:53:40.421082,1,0,jsencrypt,t4/files/drpy_libs,t4/files/drpy_libs/jsencrypt.js,True,166,.js,,1,0,0,0,True
59,2024-02-04 14:21:09.832085,1,2024-06-29 06:53:40.476772,1,0,bili,t4/files/json,t4/files/json/bili.json,True,59,.json,,1,0,0,0,True
186,2024-05-06 13:29:00.117259,1,2024-06-29 06:53:40.501550,1,0,moli,t4/files/json,t4/files/json/moli.json,True,180,.json,,1,0,0,0,True
182,2024-05-06 13:29:00.072149,1,2024-06-29 06:53:40.506669,1,0,pikpakclass.json.db,t4/files/json,t4/files/json/pikpakclass.json.db.gz,True,176,.gz,,1,0,0,0,True
188,2024-05-06 13:29:00.130646,1,2024-06-29 06:53:40.526502,1,0,wgcf,t4/files/json,t4/files/json/wgcf.json,True,182,.json,,1,0,0,0,True
191,2024-05-06 13:29:00.223270,1,2024-06-29 06:53:40.590531,1,0,pg,t4/files/jar,t4/files/jar/pg.jar,True,185,.jar,,1,0,0,0,True
129,2024-03-29 09:09:21.199069,1,2024-06-29 06:53:40.597095,1,0,CK,t4/files/js_parse_api,t4/files/js_parse_api/CK.js,True,123,.js,,1,0,0,0,True
130,2024-03-29 09:09:21.206493,1,2024-06-29 06:53:40.602421,1,0,夜幕,t4/files/js_parse_api,t4/files/js_parse_api/夜幕.js,True,124,.js,,1,0,0,0,True
131,2024-03-29 09:09:21.210231,1,2024-06-29 06:53:40.605016,1,0,杰森,t4/files/js_parse_api,t4/files/js_parse_api/杰森.js,True,125,.js,,1,0,0,0,True
132,2024-03-29 09:09:21.213665,1,2024-06-29 06:53:40.607690,1,0,盘古,t4/files/js_parse_api,t4/files/js_parse_api/盘古.js,True,126,.js,,1,0,0,0,True
134,2024-03-29 09:09:21.220463,1,2024-06-29 06:53:40.613867,1,0,阳途,t4/files/js_parse_api,t4/files/js_parse_api/阳途.js,True,128,.js,,1,0,0,0,True
192,2024-05-06 13:29:00.323252,1,2024-06-29 06:53:40.635726,1,0,pako.min,t4/files/drpy3_libs,t4/files/drpy3_libs/pako.min.js,True,186,.js,,1,0,0,0,True
103,2024-03-10 11:22:54.489716,1,2024-06-29 06:53:40.693455,1,0,kkpans,t4/files/drpy3_js,t4/files/drpy3_js/kkpans.js,True,97,.js,,1,0,0,0,True
107,2024-03-10 11:22:54.508952,1,2024-06-29 06:53:40.704646,1,0,live2mv_data,t4/files/drpy3_js,t4/files/drpy3_js/live2mv_data.json,True,101,.json,,1,0,0,0,True
108,2024-03-10 11:22:54.513700,1,2024-06-29 06:53:40.707132,1,0,meijumi,t4/files/drpy3_js,t4/files/drpy3_js/meijumi.js,True,102,.js,,1,0,0,0,True
110,2024-03-10 11:22:54.522405,1,2024-06-29 06:53:40.712868,1,0,meow,t4/files/drpy3_js,t4/files/drpy3_js/meow.js,True,104,.js,,1,0,0,0,True
113,2024-03-10 11:22:54.536510,1,2024-06-29 06:53:40.720574,1,0,qimiao,t4/files/drpy3_js,t4/files/drpy3_js/qimiao.js,True,107,.js,,1,0,0,0,True
114,2024-03-10 11:22:54.541045,1,2024-06-29 06:53:40.723085,1,0,rrdyw,t4/files/drpy3_js,t4/files/drpy3_js/rrdyw.js,True,108,.js,,1,0,0,0,True
116,2024-03-10 11:22:54.551052,1,2024-06-29 06:53:40.725767,1,0,tzfile,t4/files/drpy3_js,t4/files/drpy3_js/tzfile.js,True,110,.js,,1,0,0,0,True
117,2024-03-10 11:22:54.556124,1,2024-06-29 06:53:40.729934,1,0,xb6v,t4/files/drpy3_js,t4/files/drpy3_js/xb6v.js,True,111,.js,,1,0,0,0,True
118,2024-03-10 11:22:54.561607,1,2024-06-29 06:53:40.733133,1,0,xzys,t4/files/drpy3_js,t4/files/drpy3_js/xzys.js,True,112,.js,,1,0,0,0,True
124,2024-03-10 11:22:54.592597,1,2024-06-29 06:53:40.771006,1,0,玩偶姐姐,t4/files/drpy3_js,t4/files/drpy3_js/玩偶姐姐.js,True,118,.js,,1,0,0,0,True
81,2024-03-08 15:53:21.075372,1,2024-06-29 06:53:40.781236,1,0,drpy3.min,t4/files/drpy3_libs,t4/files/drpy3_libs/drpy3.min.js,False,75,.js,,1,0,0,0,True
135,2024-05-06 13:28:59.334848,1,2024-06-29 06:53:39.543888,1,0,厂长资源,t4/spiders,t4/spiders/厂长资源.py,True,129,.py,,1,1,1,0,True
10,2024-02-01 14:31:22.077409,1,2024-06-29 06:53:39.547016,1,0,哔滴影视,t4/spiders,t4/spiders/哔滴影视.py,True,10,.py,{{host}}/files/hipy/jars/bidi.jar,1,1,1,0,True
435,2024-06-17 16:35:37.200860,1,2024-06-29 06:53:39.632476,1,0,OmoFun[漫],t4/files/drpy_js,t4/files/drpy_js/OmoFun[漫].js,True,429,.js,,1,1,1,0,True
436,2024-06-17 16:35:37.235152,1,2024-06-29 06:53:39.637823,1,0,R18撸[密],t4/files/drpy_js,t4/files/drpy_js/R18撸[密].js,True,430,.js,,1,1,1,0,True
198,2024-05-07 03:06:28.970657,1,2024-06-29 06:53:39.643569,1,0,TVB云播,t4/files/drpy_js,t4/files/drpy_js/TVB云播.js,True,192,.js,,1,1,1,0,True
162,2024-05-06 13:28:59.724194,1,2024-06-29 06:53:39.646288,1,0,voflix,t4/files/drpy_js,t4/files/drpy_js/voflix.js,True,156,.js,,1,1,1,0,True
442,2024-06-17 16:35:37.508464,1,2024-06-29 06:53:39.681970,1,0,云盘资源网[盘],t4/files/drpy_js,t4/files/drpy_js/云盘资源网[盘].js,True,436,.js,,1,1,1,1,True
364,2024-06-09 11:52:39.674630,1,2024-06-29 06:53:39.702314,1,0,六月听书[听],t4/files/drpy_js,t4/files/drpy_js/六月听书[听].js,True,358,.js,,1,1,0,0,True
437,2024-06-17 16:35:37.271622,1,2024-06-29 06:53:39.734692,1,0,动漫巴士[漫],t4/files/drpy_js,t4/files/drpy_js/动漫巴士[漫].js,True,431,.js,,1,1,1,1,True
445,2024-06-17 16:35:37.532546,1,2024-06-29 06:53:39.738173,1,0,动漫网[漫],t4/files/drpy_js,t4/files/drpy_js/动漫网[漫].js,True,439,.js,,1,1,0,0,True
451,2024-06-17 16:35:37.760122,1,2024-06-29 06:53:39.801726,1,0,多多追剧[优],t4/files/drpy_js,t4/files/drpy_js/多多追剧[优].js,True,445,.js,,1,1,0,0,True
